106_DSS,ID,101_DSS,T0.7_DSS,102_DSS,100_DSS,103_DSS,75_DSS,104_DSS,3677_VECPAC,3337_VECPAC,3354_VECPAC,3319_VECPAC,3680_VECPAC,3674_VECPAC,3678_VECPAC,3329_VECPAC,3679_VECPAC,3307_VECPAC,3688_VECPAC,3673_VECPAC,3302_VECPAC,3675_VECPAC,3369_VECPAC,3353_VECPAC,934_LPS,940_LPS,935_LPS
7.05931528934503e-06,10-Heptadecenoic acid-F,4.212657840889381e-06,3.687793914310128e-05,,1.789660733847541e-06,2.109113763709528e-06,2.109113763709528e-06,2.029559696648541e-06,3.059419164787951e-05,,1.5172850763961797e-05,1.3146498870419254e-07,,2.869457507807134e-05,3.576797677898148e-05,,3.059419164787951e-05,,3.18522214976345e-05,4.345004654507616e-05,2.1495977798260634e-05,1.0665728533051415e-05,1.3146498870419254e-07,3.4796576262333415e-05,3.889895291349025e-05,3.2908986494800884e-05,4.307102512362269e-05
2.7192928148823935e-05,3-Aminobutanoic acid-F,1.575068747324872e-05,,1.2283094544721137e-05,3.540592791728589e-05,3.181682859142023e-05,5.5271362064019945e-06,5.709265376450192e-06,3.773422781433982e-05,,,3.680674354561085e-05,3.2541480802974324e-05,,,2.2545498786391935e-05,,,,,2.304591577534761e-05,,,,,,6.854197017085001e-05
9.544911242431532e-06,3-Hydroxypicolinic acid-F,1.9026758404792984e-05,2.147498437033308e-05,3.31249127950806e-05,4.160102815174802e-06,2.634354491413347e-05,2.970422976887245e-05,4.62427317050719e-05,2.9259696673225892e-05,1.3585756759300332e-05,,2.2545498786391935e-05,1.825126257942127e-05,2.4839556875137356e-05,3.773422781433982e-05,2.6879062833220023e-05,2.206122410994635e-05,,1.4363782053803332e-05,2.75920974319075e-05,3.390145491397535e-05,1.319001212318989e-05,2.2545498786391935e-05,2.2545498786391935e-05,2.6787585419746015e-05,2.080604252632017e-05,2.621384154650823e-05
3.506076244015584e-05,4-Pentenoic acid-F,0.0001148666903839,,5.6920350543708695e-05,6.220703947074165e-05,0.0001247429022167,2.3774837933029484e-05,5.9080782430912375e-05,5.0013878547349586e-05,3.390145491397535e-05,1.185895803842346e-05,1.8862619276440532e-05,3.390145491397535e-05,5.0013878547349586e-05,2.869457507807134e-05,5.5536882704780605e-05,3.390145491397535e-05,4.5543860543956285e-05,4.012561288730162e-05,7.112681932279086e-05,3.576797677898148e-05,2.0666979472325727e-05,1.825126257942127e-05,2.0944208513152994e-05,2.9092428362042667e-05,4.7459063005086846e-05,5.729262896743729e-05
,Acetohydroxamic acid-F,3.687793914310128e-05,2.2406156714051934e-05,5.005104997020778e-06,7.766967961267407e-07,1.7104303034974996e-05,2.4096179100994253e-05,1.5744919334713476e-05,3.708687676613752e-06,1.7822389905926072e-06,,1.6696406259132334e-06,,2.2328191271527273e-06,1.79827107792425e-05,7.053780821325238e-06,5.148709247549425e-07,2.2328191271527273e-06,6.27408295725197e-07,3.2548715103668688e-06,1.9950227610256658e-06,1.9950227610256658e-06,2.4373025423558204e-06,1.5242238489794084e-06,9.107782903386053e-06,7.166386589034193e-06,6.973314190749594e-06
1.245868703027494e-06,Argininosuccinic acid-F,,,,,,,,,1.234707808805674e-05,,,1.0953974500899492e-05,,1.1347893720169177e-05,1.0435167259978e-05,,,9.575632659392894e-06,1.0913699317503476e-05,9.213874226892582e-06,1.4147287377574096e-05,,,2.952892746175719e-05,,
1.1902622933739394e-05,Butyl caprylate-F,1.0603883113983254e-05,,1.7922328777662263e-05,7.2138788215239956e-06,9.76430696312015e-06,1.35160529853322e-05,1.4579608703051316e-05,1.2480303729688104e-05,2.7971670520343615e-05,1.110920651427007e-05,,1.1612028479114978e-05,2.2306934121041924e-05,,,,1.296183527434534e-05,,2.12914751205636e-05,7.411163384854276e-06,1.3355552836233331e-05,1.7062796515113937e-05,2.7971670520343615e-05,6.854197017085001e-05,,6.350101381471725e-05
,Deoxyglucose-F,,,4.463682502934161e-05,,,,,1.1413043010049007e-05,2.5503480585556884e-06,,2.680847064643316e-06,6.838683640633865e-06,,2.4373025423558204e-06,,,4.667820533428246e-06,,,4.667820533428246e-06,,6.27408295725197e-07,7.255294676253472e-06,2.83600203602203e-05,1.0693917048042828e-07,5.3835171916323376e-05
1.0859288351675112e-05,Dodecanedioic acid-F,3.422792770823838e-05,,3.7988389220130135e-05,3.938520390995757e-05,2.5416841227163983e-05,1.3763208976609616e-05,4.1974889587643094e-05,,,,,,,,,,,,,,,,,,,
2.483078817706204e-05,Erythritol-F,1.83731546419121e-05,,1.3647786235958917e-05,8.993228650066688e-06,1.3281609009998192e-05,2.4096179100994253e-05,1.9996966886246706e-05,6.979769416166107e-06,4.786228592863906e-05,2.6879062833220023e-05,2.5058159326239772e-05,3.2548715103668688e-06,3.576797677898148e-05,1.110920651427007e-05,,,,6.892096132425918e-07,1.3674707895242087e-05,0.0001936990815429,,3.390145491397535e-05,,5.650563956966111e-05,,4.84941585061175e-05
5.051490468464879e-07,Ethanamine-F,9.61432205024026e-06,2.0102003582969643e-05,,1.307044056450904e-05,1.782040887599989e-05,,,1.9005123557686464e-05,8.91178878016954e-06,1.959294730854357e-05,1.1040308477624518e-05,1.644556905298271e-05,8.789436112149386e-06,1.9986426685893328e-05,1.227050958596087e-05,1.227050958596087e-05,2.2306934121041924e-05,9.97740278336511e-06,1.572011312693568e-05,1.3674707895242087e-05,2.4523908347813537e-05,1.9986426685893328e-05,9.311484054051764e-06,9.901359718928036e-06,1.0514066459711718e-05,8.392569043058912e-06
